CONTINENT	REGION	COUNTRY	CAN_PROV
Oceania	Micronesia	Kiribati	N/A
Europe	Western Europe	France	N/A
Africa	Northern Africa	Algeria	N/A
Africa	Eastern Africa	Seychelles	N/A
Asia	Western Asia	Kuwait	N/A
Asia	Eastern Asia	North Korea	N/A
Asia	Western Asia	Georgia	N/A
Africa	Western Africa	Benin	N/A
Europe	Northern Europe	Isle of Man	N/A
Africa	Western Africa	Côte d'Ivoire	N/A
Asia	South-eastern Asia	Singapore	N/A
Oceania	Polynesia	Pitcairn	N/A
Europe	Northern Europe	Denmark	N/A
Americas	Central America	Belize	N/A
Americas	Caribbean	Grenada	N/A
Americas	Central America	Honduras	N/A
Americas	Central America	Nicaragua	N/A
Asia	South-eastern Asia	Timor-Leste	N/A
Africa	Western Africa	Mali	N/A
Asia	South-eastern Asia	Vietnam	N/A
Asia	Southern Asia	Nepal	N/A
Europe	Southern Europe	Bosnia and Herzegovina	N/A
Americas	Caribbean	Bonaire, Sint Eustatius and Saba	N/A
Americas	South America	Paraguay	N/A
Africa	Eastern Africa	Rwanda	N/A
Americas	Caribbean	Guadeloupe	N/A
Oceania	Polynesia	Samoa	N/A
Africa	Eastern Africa	French Southern and Antarctic Territories	N/A
Africa	Middle Africa	Chad	N/A
Africa	Eastern Africa	Malawi	N/A
Europe	Eastern Europe	Russia	N/A
Africa	Northern Africa	Sudan	N/A
Americas	Caribbean	Saint Vincent and the Grenadines	N/A
Africa	Western Africa	Burkina Faso	N/A
Africa	Western Africa	Togo	N/A
Africa	Eastern Africa	Zambia	N/A
Europe	Northern Europe	Svalbard and Jan Mayen Islands	N/A
Europe	Eastern Europe	Hungary	N/A
Africa	Western Africa	Cabo Verde	N/A
Americas	Caribbean	Curaçao	N/A
Africa	Eastern Africa	British Indian Ocean Territory	N/A
Africa	Eastern Africa	Uganda	N/A
Africa	Western Africa	Ghana	N/A
Americas	South America	Colombia	N/A
Africa	Northern Africa	Tunisia	N/A
Asia	Southern Asia	Bhutan	N/A
Asia	Western Asia	Jordan	N/A
Asia	Western Asia	Yemen	N/A
Africa	Eastern Africa	Madagascar	N/A
Oceania	Polynesia	Cook Islands	N/A
Americas	Caribbean	Barbados	N/A
Americas	Caribbean	British Virgin Islands	N/A
Asia	South-eastern Asia	Malaysia	N/A
Americas	Caribbean	Dominica	N/A
Asia	South-eastern Asia	Cambodia	N/A
Asia	Eastern Asia	Mongolia	N/A
Oceania	Micronesia	Northern Mariana Islands	N/A
Europe	Southern Europe	Andorra	N/A
Oceania	Micronesia	The Federated States of Micronesia	N/A
Oceania	Australia and New Zealand	Norfolk Island	N/A
Europe	Southern Europe	Gibraltar	N/A
Asia	Eastern Asia	Hong Kong	N/A
Americas	South America	Chile	N/A
Africa	Eastern Africa	Ethiopia	N/A
Europe	Western Europe	Switzerland	N/A
Africa	Eastern Africa	Eritrea	N/A
Asia	Western Asia	Qatar	N/A
Americas	South America	Bolivia	N/A
Asia	South-eastern Asia	Indonesia	N/A
Africa	Western Africa	Niger	N/A
Americas	Northern America	Bermuda	N/A
Oceania	Australia and New Zealand	Cocos (Keeling) Islands	N/A
Americas	Caribbean	Trinidad and Tobago	N/A
Europe	Eastern Europe	Belarus	N/A
Americas	Caribbean	Saint Martin (French Republic)	N/A
Europe	Southern Europe	Portugal	N/A
Africa	Middle Africa	Cameroon	N/A
Europe	Southern Europe	Italy	N/A
Oceania	Melanesia	Solomon Islands	N/A
